15206|20838
15044|16062
15025|15861
15216|14703
15017|10404
15214|10161
15317|8127
15037|7758
15024|5580
15228|4404
15215|3615
15014|2583
15035|1896
15238|1629
15203|1533
15034|1515
15112|1263
15031|1131
15030|1107
16053|915
15015|897
15222|771
15232|753
15003|714
15018|642
15005|618
15057|528
15026|483
15202|474
15213|399
15001|333
16033|291
15218|288
15088|267
15007|207
15217|198
15143|192
15233|189
15137|159
15090|141
15301|141
15237|132
15219|123
15235|111
15221|105
15419|99
15012|90
16046|90
16066|78
15201|72
15132|72
15146|72
15006|72
15020|69
15108|63
15145|60
15212|54
15147|48
43920|48
16002|48
15010|42
15239|39
15102|36
15321|36
15139|33
16001|33
15224|33
15205|30
15210|27
15229|27
15423-1045|27
15220|24
15120|21
15601|21
15211|21
15009|21
15232-1803|18
15232-1419|18
15419-1220|18
15068|18
15101|18
15642|18
15106|18
15227|15
15423|15
15423-1049|15
15241|15
15234|15
15045|15
15223|12
15423-1048|12
26003|12
26059|12
15122|12
15226|12
15056|12
15207|12
26062|12
15116|12
16023|12
15236|12
15208|12
43952|9
15260|9
16059|9
15021|9
15133|9
15213-1502|9
15063|9
15129|9
15206-4403|6
15204|6
15213-1405|6
15232-1421|6
16123|6
15213-2909|6
15417|6
2573|6
15213-2911|6
15061|6
15066|6
15232-1823|6
15342|6
44432|6
16056|6
15650|6
15148|3
26050|3
15022|3
425 1/2|3
California PA, 15419|3
PA 15033|3
15142|3
PA 15601|3
26070|3
15050|3
26037|3
26034|3
16201|3
15071|3
16115|3
15074|3
15083|3
15084|3
15086|3
16157|3
15110|3
15091|3
15104|3
15774|3
15213-1678|3
15203-2275|3
15237-5344|3
15232-1833|3
15232-1834|3
15232-1845|3
15232-1879|3
15232-2106|3
15232-2131|3
15232-2210|3
15232-2705|3
15232-2716|3
15232-2734|3
15232-2735|3
15235-3494|3
15236-1491|3
15243|3
15232-1828|3
15247|3
15290|3
15301-6133|3
15313|3
15340|3
15419-1221|3
15419s|3
15425|3
15501|3
15622|3
15624|3
15637|3
15658|3
15232-1832|3
15232-1826|3
15206-3807|3
15692|3
15206-4320|3
15206-4336|3
15206-4449|3
15206-4456|3
15206-4471|3
15206-4472|3
15206-4818|3
15209|3
15210-1845|3
15213-1400|3
15213-1500|3
15213-1503|3
15213-1530|3
15213-1704|3
15232-1447|3
15213-1705|3
15213-1713|3
15213-1738|3
15213-1763|3
15213-2608|3
15213-2712|3
15213-3704|3
15213-4026|3
16055|3
15215x|3
PA 15632|3
15225|3
15231|3
unknown|3
